State_Name,State_Code,COUNT,No of Household,Total population Person,Total population Male,Total population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates population Person,Literates population Male,Literates population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Non Working Population Person,Non Working Population Male,Non Working Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Worker Population 3-6 Person,Marginal Worker Population 3-6 Male,Marginal Worker Population 3-6 Female,Marginal Worker Population 0-3 Person,Marginal Worker Population 0-3 Male,Marginal Worker Population 0-3 Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Cultivator Population 3-6 Person,Marginal Cultivator Population 3-6 Male,Marginal Cultivator Population 3-6 Female,Marginal Agriculture Labourers Population 3-6 Person,Marginal Agriculture Labourers Population 3-6 Male,Marginal Agriculture Labourers Population 3-6 Female,Marginal Household Industries Population 3-6 Person,Marginal Household Industries Population 3-6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3-6 Person,Marginal Other Workers Population Person 3-6 Male,Marginal Other Workers Population Person 3-6 Female,Marginal Cultivator Population 0-3 Person,Marginal Cultivator Population 0-3 Male,Marginal Cultivator Population 0-3 Female,Marginal Agriculture Labourers Population 0-3 Person,Marginal Agriculture Labourers Population 0-3 Male,Marginal Agriculture Labourers Population 0-3 Female,Marginal Household Industries Population 0-3 Person,Marginal Household Industries Population 0-3 Male,Marginal Household Industries Population 0-3 Female,Marginal Other Workers Population 0-3 Person,Marginal Other Workers Population 0-3 Male,Marginal Other Workers Population 0-3 Female
Manipur,14,1738,375716,1880977,945412,935565,245455,126800,118655,50501,25585,24916,635711,317551,318160,1292615,703343,589272,588362,242069,346293,855356,491836,363520,1025621,453576,572045,632568,410462,222106,222788,81374,141414,176130,64792,111338,46658,16582,30076,267978,170428,97550,31860,16757,15103,32938,9677,23261,299792,213600,86192,67981,28328,39653,51314,15436,35878,31855,4813,27042,71638,32797,38841,52732,21909,30823,38369,11279,27090,25043,3693,21350,59986,27911,32075,15249,6419,8830,12945,4157,8788,6812,1120,5692,11652,4886,6766
Meghalaya,17,6484,549105,2972239,1494461,1477778,569104,288939,280165,17471,9216,8255,2560147,1271899,1288248,1789250,916085,873165,1182989,578376,604613,1188206,705075,483131,1784033,789386,994647,923603,586766,336837,264603,118309,146294,209971,93688,116283,54632,24621,30011,412651,244653,167998,114963,70571,44392,12027,6502,5525,383962,265040,118922,83492,33540,49952,84098,35931,48167,8538,2944,5594,88475,45894,42581,65691,25661,40030,66405,28514,37891,6066,2117,3949,71809,37396,34413,17801,7879,9922,17693,7417,10276,2472,827,1645,16666,8498,8168
Mizoram,15,504,167091,819980,413630,406350,124314,63011,61303,1012,636,376,770881,383221,387660,638189,328340,309849,181791,85290,96501,365377,216907,148470,454603,196723,257880,309339,194827,114512,56038,22080,33958,41355,15742,25613,14683,6338,8345,141364,84944,56420,17765,11128,6637,4425,2323,2102,145785,96432,49353,19063,5772,13291,11484,4273,7211,1740,610,1130,23751,11425,12326,12835,3513,9322,8665,3077,5588,1289,460,829,18566,8692,9874,6228,2259,3969,2819,1196,1623,451,150,301,5185,2733,2452
Nagaland,13,1033,297467,1475499,762787,712712,215975,111460,104515,1,0,1,1276885,646665,630220,997517,536330,461187,477982,226457,251525,727296,407669,319627,748203,355118,393085,555631,329009,226622,171665,78660,93005,103136,45144,57992,68529,33516,35013,319487,157127,162360,16175,9191,6984,6568,3449,3119,213401,159242,54159,85745,37699,48046,33075,15522,17553,9053,3350,5703,43792,22089,21703,47550,19067,28483,17420,7758,9662,5783,1978,3805,32383,16341,16042,38195,18632,19563,15655,7764,7891,3270,1372,1898,11409,5748,5661
Odisha,21,48294,9235929,40219166,20326284,19892882,5051132,2601920,2449212,6869528,3457553,3411975,9243072,4556955,4686117,25645100,14467358,11177742,14574066,5858926,8715140,16815278,11406770,5408508,23403888,8919514,14484374,10265833,8429228,1836605,6549445,2977542,3571903,5362324,2500194,2862130,1187121,477348,709773,3139826,2799366,340460,2314208,1670072,644136,425724,302320,123404,4386075,3657470,728605,789978,432564,357414,4142498,1662670,2479828,329979,118957,211022,1286990,763351,523639,639368,364460,274908,3427697,1406317,2021380,257220,95595,161625,1038039,633822,404217,150610,68104,82506,714801,256353,458448,72759,23362,49397,248951,129529,119422
Puducherry,34,107,302510,1248173,612828,635345,132821,67548,65273,196400,95606,100794,25,17,8,955685,496972,458713,292488,115856,176632,448763,333967,114796,799410,278861,520549,402448,307445,95003,46315,26522,19793,37159,21623,15536,9156,4899,4257,11967,9994,1973,54485,35317,19168,6457,3559,2898,329539,258575,70964,1366,868,498,18983,9541,9442,1514,527,987,24452,15586,8866,1115,710,405,15001,7708,7293,1122,397,725,19921,12808,7113,251,158,93,3982,1833,2149,392,130,262,4531,2778,1753
Punjab,3,12882,5455133,27465526,14493373,12972153,3048963,1651049,1397914,8795217,4605640,4189577,1491,771,720,18492344,10319884,8172460,8973182,4173489,4799693,9804829,7998260,1806569,17660697,6495113,11165584,8369639,7196588,1173051,1435190,801672,633518,1140786,654976,485810,294404,146696,147708,1803095,1691096,111999,1166373,1012435,153938,298891,214577,84314,5101280,4278480,822800,130166,61319,68847,419971,224907,195064,84546,32872,51674,800507,482574,317933,98386,50219,48167,308925,177842,131083,64884,24900,39984,668591,402015,266576,31780,11100,20680,111046,47065,63981,19662,7972,11690,131916,80559,51357
Rajasthan,8,44932,12696278,68463046,35505352,32957694,10637322,5632610,5004712,12204428,6346536,5857892,9235716,4741427,4494289,38223671,23656732,14566939,30239375,11848620,18390755,29857353,18275445,11581908,38605693,17229907,21375786,21033939,15223994,5809945,8823414,3051451,5771963,7011827,2405139,4606688,1811587,646312,1165275,9841900,6363868,3478032,2195031,1280835,914196,502289,359929,142360,8494719,7219362,1275357,3771260,1151980,2619280,2744541,851846,1892695,217282,74980,142302,2090331,972645,1117686,2933440,827765,2105675,2264320,709253,1555067,169107,59005,110102,1644960,809116,835844,837820,324215,513605,480221,142593,337628,48175,15975,32200,445371,163529,281842
Sikkim,11,449,129004,610573,323066,287507,64111,32761,31350,28275,14454,13821,206358,105259,101099,444948,251265,193683,165625,71801,93824,308134,194354,113780,302439,128712,173727,230393,160509,69884,77741,33845,43896,54465,23668,30797,23276,10177,13099,82707,50586,32121,11582,7145,4437,2888,2056,832,133216,100722,32494,34694,12741,21953,14404,5738,8666,2255,891,1364,26388,14475,11913,22306,7911,14395,10322,4001,6321,1485,582,903,20352,11174,9178,12388,4830,7558,4082,1737,2345,770,309,461,6036,3301,2735
Tamil Nadu,33,16667,18510023,72087166,36107620,35979546,7417180,3816786,3600394,14421193,7196125,7225068,794642,401036,393606,51794232,28016819,23777413,20292934,8090801,12202133,32858219,21416937,11441282,39228947,14690683,24538264,27916761,18943371,8973390,4941458,2473566,2467892,4217968,2136874,2081094,723490,336692,386798,3853551,2510844,1342707,7228421,3805498,3422923,1118329,513955,604374,15716460,12113074,3603386,393156,220393,172763,2372394,1034545,1337849,245313,76466,168847,1930595,1142162,788433,348181,197008,151173,2039733,903292,1136441,187168,59343,127825,1642886,977231,665655,44975,23385,21590,332661,131253,201408,58145,17123,41022,287709,164931,122778
