City,COUNT,No of Household,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Total population Person,Total population Male,Total population Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates population Person,Literates population Male,Literates population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3-6 Person,Marginal Worker Population 3-6 Male,Marginal Worker Population 3-6 Female,Marginal Cultivator Population 3-6 Person,Marginal Cultivator Population 3-6 Male,Marginal Cultivator Population 3-6 Female,Marginal Agriculture Labourers Population 3-6 Person,Marginal Agriculture Labourers Population 3-6 Male,Marginal Agriculture Labourers Population 3-6 Female,Marginal Household Industries Population 3-6 Person,Marginal Household Industries Population 3-6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3-6 Person,Marginal Other Workers Population Person 3-6 Male,Marginal Other Workers Population Person 3-6 Female,Marginal Worker Population 0-3 Person,Marginal Worker Population 0-3 Male,Marginal Worker Population 0-3 Female,Marginal Cultivator Population 0-3 Person,Marginal Cultivator Population 0-3 Male,Marginal Cultivator Population 0-3 Female,Marginal Agriculture Labourers Population 0-3 Person,Marginal Agriculture Labourers Population 0-3 Male,Marginal Agriculture Labourers Population 0-3 Female,Marginal Household Industries Population 0-3 Person,Marginal Household Industries Population 0-3 Male,Marginal Household Industries Population 0-3 Female,Marginal Other Workers Population 0-3 Person,Marginal Other Workers Population 0-3 Male,Marginal Other Workers Population 0-3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
Mumbai,25,2779943,1203770,629262,574508,12442373,6715931,5726442,803236,411855,391381,129653,68521,61132,10084507,5633709,4450798,2357866,1082222,1275644,5019417,3965331,1054086,4725256,3786989,938267,14303,9430,4873,22707,17538,5169,145635,103133,42502,4542611,3656888,885723,294161,178342,115819,7834,4019,3815,3760,2277,1483,18719,7703,11016,263848,164343,99505,246947,147800,99147,7583,3871,3712,3348,1999,1349,13654,5664,7990,222362,136266,86096,47214,30542,16672,251,148,103,412,278,134,5065,2039,3026,41486,28077,13409,7422956,2750600,4672356
Nagpur,129,488786,229007,118798,110209,2231769,1136257,1095512,455679,228526,227153,174559,89113,85446,1837876,959718,878158,393893,176539,217354,786252,612294,173958,726390,576293,150097,3130,2476,654,5337,3883,1454,25096,16993,8103,692827,552941,139886,59862,36001,23861,1328,662,666,1068,594,474,4184,1615,2569,53282,33130,20152,50920,30415,20505,1283,634,649,877,477,400,3356,1304,2052,45404,28000,17404,8942,5586,3356,45,28,17,191,117,74,828,311,517,7878,5130,2748,1445517,523963,921554
Nashik,108,336333,174476,93533,80943,1486053,782517,703536,214620,109553,105067,107456,56061,51395,1178446,643543,534903,307607,138974,168633,534821,426151,108670,495978,402037,93941,12547,8695,3852,10585,6315,4270,12185,7201,4984,460661,379826,80835,38843,24114,14729,1039,491,548,1885,821,1064,2500,763,1737,33419,22039,11380,33992,21309,12683,975,466,509,1601,709,892,2039,640,1399,29377,19494,9883,4851,2805,2046,64,25,39,284,112,172,461,123,338,4042,2545,1497,951232,356366,594866
Navi_Mumbai,89,273626,129591,68142,61449,1120547,610060,510487,100067,52062,48005,18913,10155,8758,888117,501797,386320,232430,108263,124167,455485,361222,94263,419469,339789,79680,1261,868,393,2723,2094,629,9176,6070,3106,406309,330757,75552,36016,21433,14583,648,327,321,475,263,212,1549,532,1017,33344,20311,13033,31847,18938,12909,632,320,312,413,220,193,1198,395,803,29604,18003,11601,4169,2495,1674,16,7,9,62,43,19,351,137,214,3740,2308,1432,665062,248838,416224
Noida,1,488786,229007,118798,110209,2231769,1136257,1095512,455679,228526,227153,174559,89113,85446,1837876,959718,878158,393893,176539,217354,786252,612294,173958,726390,576293,150097,3130,2476,654,5337,3883,1454,25096,16993,8103,692827,552941,139886,59862,36001,23861,1328,662,666,1068,594,474,4184,1615,2569,53282,33130,20152,50920,30415,20505,1283,634,649,877,477,400,3356,1304,2052,45404,28000,17404,8942,5586,3356,45,28,17,191,117,74,828,311,517,7878,5130,2748,1445517,523963,921554
Patna,72,294612,203041,108188,94853,1684222,893399,790823,151876,80491,71385,5139,2527,2612,1234931,685849,549082,449291,207550,241741,509786,419543,90243,426034,364357,61677,9606,7776,1830,16707,13573,3134,19015,15288,3727,380706,327720,52986,83752,55186,28566,3132,1836,1296,6641,4450,2191,5615,3303,2312,68364,45597,22767,75594,49273,26321,2993,1741,1252,5932,3973,1959,4354,2635,1719,62315,40924,21391,8158,5913,2245,139,95,44,709,477,232,1261,668,593,6049,4673,1376,1174436,473856,700580
Satna,47,54699,32774,17395,15379,280222,147874,132348,38978,20239,18739,9381,4930,4451,209825,117540,92285,70397,30334,40063,91943,73580,18363,79128,65648,13480,2038,1742,296,2583,1946,637,5168,3670,1498,69339,58290,11049,12815,7932,4883,308,188,120,1088,562,526,1402,607,795,10017,6575,3442,10876,6823,4053,294,182,112,936,498,438,1197,517,680,8449,5626,2823,1939,1109,830,14,6,8,152,64,88,205,90,115,1568,949,619,188279,74294,113985
Thane,65,237602,101907,53439,48468,977992,516613,461379,77805,40039,37766,25728,13212,12516,788287,427829,360458,189705,88784,100921,386980,292626,94354,359205,275350,83855,1403,1070,333,2348,1628,720,7167,4190,2977,348287,268462,79825,27775,17276,10499,620,419,201,306,174,132,1353,543,810,25496,16140,9356,23771,14791,8980,594,403,191,260,148,112,991,382,609,21926,13858,8068,4004,2485,1519,26,16,10,46,26,20,362,161,201,3570,2282,1288,591012,223987,367025
Varanasi,91,193595,137111,73227,63884,1212610,642882,569728,84432,45247,39185,6753,3644,3109,853567,476072,377495,359043,166810,192233,406364,328708,77656,343289,289046,54243,6456,4978,1478,6792,5342,1450,75611,60563,15048,254430,218163,36267,63075,39662,23413,1626,920,706,2928,1754,1174,12114,7065,5049,46407,29923,16484,56958,35500,21458,1502,853,649,2615,1522,1093,10438,6150,4288,42403,26975,15428,6117,4162,1955,124,67,57,313,232,81,1676,915,761,4004,2948,1056,806246,314174,492072
Vijayawada,78,279556,101699,52645,49054,1034358,518590,515768,100349,49604,50745,16102,8191,7911,757667,396130,361537,276691,122460,154231,383705,295733,87972,336661,268782,67879,2066,1482,584,9877,6460,3417,9112,6070,3042,315606,254770,60836,47044,26951,20093,1048,479,569,2525,1334,1191,2431,1052,1379,41040,24086,16954,42231,24188,18043,1024,466,558,2150,1123,1027,1905,777,1128,37152,21822,15330,4813,2763,2050,24,13,11,375,211,164,526,275,251,3888,2264,1624,650653,222857,427796
Visakhapatnam,74,439335,164129,84298,79831,1728128,873599,854529,146724,73120,73604,20959,10845,10114,1279137,688678,590459,448991,184921,264070,612221,489759,122462,521928,433109,88819,4202,2827,1375,9848,7295,2553,13538,9797,3741,494340,413190,81150,90293,56650,33643,2764,1223,1541,3839,2388,1451,4854,2476,2378,78836,50563,28273,77166,47307,29859,2702,1174,1528,3089,1878,1211,3639,1760,1879,67736,42495,25241,13127,9343,3784,62,49,13,750,510,240,1215,716,499,11100,8068,3032,1115907,383840,732067
Total,2834,17890789,8557982,4506866,4051116,81414136,42791480,38622656,9648974,5004233,4644741,996860,517233,479389,63257175,34521967,28735208,18063649,8216489,9847160,30290157,23950781,6339376,27194096,22065469,5128627,182331,132762,49569,275576,208990,66586,951003,713371,237632,25785186,21010346,4774840,3096061,1885312,1210749,88521,44820,43701,91597,59457,32140,190344,91642,98702,2725599,1689393,1036206,2743926,1648401,1095525,85816,43204,42612,79039,50606,28433,152017,73068,78949,2427054,1481523,945531,352135,236911,115224,2705,1616,1089,12558,8851,3707,38327,18574,19753,298545,207870,90675,51030667,18787675,32242992
